timestamp,temp_c
2025-10-08 00:00:00,13.5
2025-10-08 01:00:00,12.9
2025-10-08 02:00:00,12.3
2025-10-08 03:00:00,11.7
2025-10-08 04:00:00,11.1
2025-10-08 05:00:00,10.8
2025-10-08 06:00:00,10.4
2025-10-08 07:00:00,9.7
2025-10-08 08:00:00,12.2
2025-10-08 09:00:00,15.6
2025-10-08 10:00:00,20.2
2025-10-08 11:00:00,22.9
2025-10-08 12:00:00,24.7
2025-10-08 13:00:00,25.8
2025-10-08 14:00:00,26.2
2025-10-08 15:00:00,26.6
2025-10-08 16:00:00,26.4
2025-10-08 17:00:00,25.9
2025-10-08 18:00:00,24.8
2025-10-08 19:00:00,22.7
2025-10-08 20:00:00,20.3
2025-10-08 21:00:00,18.7
2025-10-08 22:00:00,17.2
2025-10-08 23:00:00,16.7
